"State","Type of Energy","GWh"
"New South Wales","Total non-renewable",48489.9
"New South Wales","Total renewable",24579.8
"Victoria","Total non-renewable",33411.7
"Victoria","Total renewable",21556.086
"Queensland","Total non-renewable",53579.7
"Queensland","Total renewable",17159.297
"Western Australia","Total non-renewable",36841.251
"Western Australia","Total renewable",7636.963
"South Australia","Total non-renewable",4146.455
"South Australia","Total renewable",11362.41
"Tasmania","Total non-renewable",206.236
"Tasmania","Total renewable",10498.456
"Northern Territory","Total non-renewable",4687.446
"Northern Territory","Total renewable",319.194
