Hail ID,Date/Time,Latitude,Longitude,Nearest town,State,Hail size,Damage total,Comments,
2986,2010-11-13 15:00:00,-28.4800,151.5000,Ballandean,QLD,2.4,,Hail destroyed fruit crops at Ballandean. ,
2996,2010-01-29 04:00:00,-27.3300,152.1600,Gatton,QLD,1.7,, ,
2997,2010-01-29 05:00:00,-27.2400,152.5600,Ferny Grove,QLD,2.1,, ,
3047,2010-04-05 11:20:00,-25.5834,134.5667,FINKE,NT,6.0,,"At 11:20Z 52 dBz at about 12300 m gives hail >6 cm by using the hail nomogram. 50  dBz on radar between Kulgera and Marla (SA), approximately 300 km south of Alice Springs and 9000 m above ground (0.5 deg elevation) indicating some intense thunderstorm cells. Also indications of anomalous left movement as it passed to the NW of Finke (Aputula) around 1100Z. At 11:20Z 52 dBz at about 12300 m gives hail >6 cm by using the hail nomogram. Cloud top temperatures of 201K (-72 deg C) gives a storm top of about 48000 ft.",
3053,2010-01-06 03:00:00,-33.7317,150.4512,HAZELBROOK,NSW,4.0,,"Report on Weatherzone of 3-4cm hail at Hazelbrook, no time given. Time estimated as about 2pm local from time of report. Thunderstorm with some hail to 3-4cm (but mostly 2cm) at Hazelbrook in Blue Mountains. Trees shredded and some outdoor furniture damaged.",
3054,2010-01-14 07:10:00,-33.2817,149.1012,ORANGE,NSW,3.0,,Hail with largest size 3cm and most common size 2cm reported from 8km SW of Orange at 0710 UTC on 14/1/10. Thunderstorm with large hail near Orange on 14/1/10.,
3055,2010-01-17 05:00:00,-29.7651,153.1178,PILLAR VALLEY,NSW,7.0,,"Almost cricket ball size hail" reported from Pillar Valley just east of Grafton at 16:03 local on 17/1/10. Assume it happened shortly before. Approximated hail size to 7cm (cricket ball = 7.2cm). Thunderstorm with large hail and damaging winds in the Grafton area.,
3056,2010-01-27 04:00:00,-29.2817,152.9845,WHIPORIE,NSW,4.3,,"Golf ball sized hail reported by spotter Halden Boyd 2nd hand from CB radio report near Whiporie. Radar indicates time about 0400 UTC. Supercell thunderstorm affected Whiporie, Casino, Lismore and surrounding areas on 27/1/10. Large hail, damaging winds and heavy rainfall were all reported from various locations.",
3057,2010-01-27 05:20:00,-28.7817,153.1678,FERNSIDE,NSW,3.0,,"3cm hail reported by spotter and Fernside (10km west of Lismore) on 27/1/10. Time estimated as 0520Z from radar. Supercell thunderstorm affected Whiporie, Casino, Lismore and surrounding areas on 27/1/10. Large hail, damaging winds and heavy rainfall were all reported from various locations.",
3058,2010-01-27 05:00:00,-28.8484,153.0511,CASINO,NSW,3.0,,"3cm hail reported by spotter in severe storm at Casino. Time of storm estimated as 05 to 06Z from radar. Supercell thunderstorm affected Whiporie, Casino, Lismore and surrounding areas on 27/1/10. Large hail, damaging winds and heavy rainfall were all reported from various locations.",
3059,2010-01-27 11:00:00,-30.9651,151.3511,WOOLBROOK,NSW,5.0,,"Hail larger than golf balls (assumed size about 5cm - golf ball 4.2cm) reported from several properties in the Woolbrook/Ingleba area (NT) with roofs and gutters damaged, windows and skylights smashed and leaves stripped off trees. Severe thunderstorm with large hail in the Ingleba/Woolbrook area on 27/1/10.",
3060,2010-01-27 05:30:00,-33.3817,149.8846,SUNNY CORNER,NSW,4.0,,3-4cm hail reported from Sunny Corner (east of Bathurst) before 5pm local time - estimated as 4:30pm from radar. Severe thunderstorm cluster with heavy rain and large hail over the Central Tablelands 27/1/10.,
3061,2010-01-28 05:45:00,-33.6817,150.6012,WINMALEE,NSW,3.2,,"50 c coin size hail reported from Winmalee at 4:45pm (local) on 28/1/10. Severe thunderstorm, most likely a supercell, brought large hail to the lower Blue Mountains before causing a strong wind gust at Cessnock several hours later on 28/1/10.",
3062,2010-01-28 05:45:00,-33.6984,150.5346,FAULCONBRIDGE,NSW,2.9,,"20 c coin size hail reported from Faulconbridge at 4:45pm (local) on 28/1/10. Severe thunderstorm, most likely a supercell, brought large hail to the lower Blue Mountains before causing a strong wind gust at Cessnock several hours later on 28/1/10.",
3063,2010-01-28 06:15:00,-34.4817,150.2679,MEDWAY,NSW,5.0,,5cm hail reported west of Medway at 5:15pm (local) on 28/1/10. Severe thunderstorm with large hail west of Medway near Mittagong on 28/1/10.,
3064,2010-01-28 05:30:00,-33.7151,150.4346,LAWSON,NSW,3.0,,"3cm hail reported at Lawson at 4:30pm (local) for 15 minutes on 28/1/10. Severe thunderstorm, most likely a supercell, brought large hail to the lower Blue Mountains before causing a strong wind gust at Cessnock several hours later on 28/1/10.",
3065,2010-01-28 07:30:00,-31.2317,151.0178,LOOMBERAH,NSW,5.5,,5.5cm hail reported at Loomberah at 6:30pm (local) on 28/1/10. Thunderstorm with severe winds and large hail at Loomberah east of Tamworth on 28/1/10.,
3066,2010-01-28 08:20:00,-28.8484,153.0511,CASINO,NSW,4.3,,Golf ball sized hail reported from SW of Casino at 7:20pm on 28/1/10. Thunderstorm with large hail SW of Casino on 28/1/10.,
3068,2010-03-07 03:40:00,-35.5318,144.9347,DENILIQUIN,NSW,2.0,,2cm hail reported by email from a storm at Deniliquin between about 0340 and 0410 UTC on 7/3/10 (time estimated from radar). Thunderstorm with large hail at Deniliquin on the afternoon of 7/3/10.,
3069,2010-03-28 04:30:00,-34.6556,150.2996,BUNDANOON,NSW,0.0,,"Hail damage to a car from a storm near Bundanoon on 28/3/10 reported via friend of Bureau forecaster. Time estimated to be about 0430 UTC, from first appearance of most intense echoes on radar. Thunderstorm with damaging hail near Bundanoon on 28/3/10.",
3075,2010-01-28 05:35:00,-32.0067,149.9846,CASSILIS,NSW,3.0,,NULL NULL,
3087,2010-01-01 08:00:00,-37.5151,145.2446,KINGLAKE WEST,VIC,2.0,,Report of 2cm hail covering the ground but time only mentioned as 'late'. Report wasn't received until the following day. NULL,
