"X","Y","name","class","generationmw","generatornumber"
146.248964079,-41.282616047,"Paloona","Renewable",28,1
146.902997533,-41.1428963559999,"Bell Bay (Bell Bay Three)","Non Renewable",115,3
147.1118721,-41.422632968,"Trevallyn","Renewable",80,4
146.919167801,-41.811484386,"Poatina","Renewable",100,6
146.620699328,-42.253702238,"Lake Echo","Renewable",32.4,1
141.954728672,-38.283516227,"Codrington Wind Farm","Renewable",18.2,14
142.015130942,-38.307938481,"Yambuk Wind Farm","Renewable",30,20
142.184360247,-38.064804309,"Macarthur Wind Farm","Renewable",420,140
142.667478911,-38.063169322,"Mortlake","Non Renewable",566,2
144.894197,-37.841462,"Newport","Non Renewable",500,1
145.118722,-37.9501999999999,"Claytons","Renewable",11,11
145.139635,-37.9732969999999,"Springvale","Renewable",4.2,6
145.269949677,-38.05345276,"Hallam Road","Renewable",8.984,2
146.342783,-38.177015,"Yallourn","Non Renewable",1480,4
146.424923,-38.274626,"Jeeralang B","Non Renewable",228,3
146.426296,-38.275325,"Jeeralang A","Non Renewable",204,4
146.574569,-38.2535999999999,"Loy Yang A","Non Renewable",2180,4
146.58637,-38.256447,"Loy Yang B","Non Renewable",1000,2
146.589166,-38.253622,"Valley Power (Peaking Facility)","Non Renewable",300,6
147.563929505,-37.842859499,"Bairnsdale","Non Renewable",94,2
145.999461532,-36.009409822,"Yarrawonga","Renewable",9,2
147.032622269,-36.106618538,"Hume","Renewable",70,2
140.403311288,-37.76025336,"Canunda Wind Farm","Renewable",46,23
140.415557539,-37.664550618,"Snuggery","Non Renewable",63,3
138.581758,-34.8474629999999,"Dry Creek","Non Renewable",156,3
138.521322,-34.806844,"Torrens Island A","Non Renewable",480,4
138.52262,-34.805171,"Torrens Island B","Non Renewable",800,4
143.889193755,-37.831699812,"Mt Mercer Wind Farm","Renewable",131,NA
143.60373023,-37.3574621769999,"Waubra Wind Farm","Renewable",192,128
143.113971102,-37.389789024,"Challicum Hills Wind Farm","Renewable",52.5,35
145.378983344,-36.321775163,"Shepparton Biogas Generation Plant","Renewable",1.1,NA
147.520579928,-36.55642936,"Dartmouth (Mount Beauty Hydro Scheme)","Renewable",150,1
147.459378113,-36.534396821,"Banimboola","Renewable",12.85,2
146.392105999,-36.912936854,"Lake William Hovell","Renewable",2,1
145.921452358,-37.2220053349999,"Eildon","Renewable",120,4
144.788711,-37.84158,"Laverton North","Non Renewable",312,2
146.64696,-42.507695,"Repulse","Renewable",28,1
145.982832162,-42.740518138,"Gordon","Renewable",432,3
145.534476782,-42.154834584,"John Butters","Renewable",144,1
145.65381993,-41.812870292,"Tribute","Renewable",82.8,1
145.532112,-41.735983,"Bastyan","Renewable",79.9,1
145.13594835,-41.72376958,"Reece","Renewable",238,2
145.646118575,-41.699749738,"Mackintosh","Renewable",79.9,1
146.134909,-41.478738,"Cethana","Renewable",85,1
146.125073,-41.483312,"Wilmot","Renewable",81.6,1
146.263167,-41.350467,"Devils Gate","Renewable",60,1
